,Address,Cars,Bluecar counter,Utilib counter,Utilib 1.4 counter,Charge Slots,Charging Status,City,ID,Kind,Geo point,Postal code,Public name,Rental status,Slots,Status,Subscription status,year,month,day,hour,minute,new_datetime
3881,19 Rue Ãmile Duclaux,1,1,0,0,1,operational,Paris,paris-emileduclaux-19,STATION,"48.842111, 2.3091306",75015,Paris/Ãmile Duclaux/19,operational,3,ok,nonexistent,2018,4,4,23,36,2018-04-04 23:36:00
3882,27 Rue Faidherbe,1,1,0,0,1,operational,Paris,paris-faidherbe-27,STATION,"48.8525733, 2.3830368",75011,Paris/Faidherbe/27,operational,4,ok,nonexistent,2018,4,1,6,45,2018-04-01 06:45:00
3883,8 rue Adolphe Mille,1,1,0,0,0,operational,Paris,paris-adolphemille-8,STATION,"48.888588, 2.3888175",75019,Paris/Adolphe Mille/8,operational,1,ok,nonexistent,2018,4,1,1,53,2018-04-01 01:53:00
3884,123 Rue Salvador Allende,5,5,0,0,0,nonexistent,Nanterre,nanterre-salvadorallende-123,STATION,"48.89406, 2.22547",92000,Nanterre/Salvador Allende/123,operational,1,ok,nonexistent,2018,4,3,23,3,2018-04-03 23:03:00
3885,1 rue Emile Raspail,4,4,0,1,0,nonexistent,Arcueil,arcueil-emileraspail-1,STATION,"48.7998263, 2.3312852",94110,Arcueil/Emile Raspail/1,operational,0,ok,nonexistent,2018,4,4,6,59,2018-04-04 06:59:00
3886,16 rue de l'ArrivÃ©e,0,0,1,0,2,operational,Paris,paris-arrivee-16,STATION,"48.843154, 2.321689",75015,Paris/ArrivÃ©e/16,operational,4,ok,nonexistent,2018,4,1,15,13,2018-04-01 15:13:00
3887,40 Rue du docteur Variot,4,4,0,0,0,nonexistent,Rosny-sous-Bois,rosnysousbois-variot-40,STATION,"48.8798646, 2.4931178",93110,Rosny-sous-Bois/Variot/40,operational,1,ok,nonexistent,2018,4,5,22,44,2018-04-05 22:44:00
3888,23 Quai aux Fleurs,3,3,0,0,1,operational,Paris,paris-quaiauxfleurs-23,STATION,"48.8548459, 2.3505278",75004,Paris/Fleurs/23,operational,2,ok,nonexistent,2018,4,3,13,9,2018-04-03 13:09:00
3889,2 avenue Charles de Gaulle,2,2,0,0,0,nonexistent,Le Chesnay,lechesnay-charlesdegaulle-2,STATION,"48.8291166, 2.1165247",78150,Le Chesnay/Charles de Gaulle/2,operational,1,ok,broken,2018,4,2,11,52,2018-04-02 11:52:00
3890,3 avenue Paul Doumer,2,2,0,0,0,nonexistent,Rueil-Malmaison,rueilmalmaison-pauldoumer-3,STATION,"48.8839089, 2.1919207",92500,Rueil-Malmaison/Paul Doumer/3,operational,4,ok,nonexistent,2018,4,3,12,12,2018-04-03 12:12:00
3891,121 avenue AndrÃ© Morizet,6,6,0,0,0,nonexistent,Boulogne-Billancourt,boulognebillancourt-andremorizet-121,STATION,"48.840169, 2.229398",92100,Boulogne-Billancourt/AndrÃ© Morizet/121,operational,0,ok,nonexistent,2018,4,3,10,54,2018-04-03 10:54:00
3892,3 Rue Saint Roch,0,0,0,0,0,nonexistent,Paris,paris-saintroch-3,STATION,"48.8642939, 2.3314856",75001,Paris/Saint Roch/3,operational,4,ok,nonexistent,2018,4,5,1,23,2018-04-05 01:23:00
3893,43 avenue de la RÃ©publique,4,4,0,0,0,nonexistent,Montrouge,montrouge-republique-43,SPACE,"48.81909, 2.319941",92120,Montrouge/RÃ©publique/43,operational,1,ok,operational,2018,4,9,18,0,2018-04-09 18:00:00
3894,14 rue Velpeau,1,1,0,0,0,nonexistent,Antony,antony-velpeau-14,STATION,"48.7549117, 2.301541",92160,Antony/Velpeau/14,operational,4,ok,nonexistent,2018,4,2,0,50,2018-04-02 00:50:00
3895,23 Boulevard de Clichy,0,0,0,0,1,operational,Paris,paris-clichy-23,STATION,"48.8826, 2.3363",75009,Paris/Clichy/23,operational,5,ok,nonexistent,2018,4,5,9,25,2018-04-05 09:25:00
3896,2 bis Place du 8 mai 1945,5,5,0,0,0,nonexistent,Rueil-Malmaison,rueilmalmaison-8mai1945-2,STATION,"48.8713591, 2.20283",92500,Rueil-Malmaison/8 mai 1945/2,operational,0,ok,nonexistent,2018,4,8,8,5,2018-04-08 08:05:00
3897,13 avenue de la Grande ArmÃ©e,4,4,0,1,0,operational,Paris,paris-grandearmee-13,SPACE,"48.874641, 2.2915841",75016,Paris/Grande ArmÃ©e/13,operational,0,ok,broken,2018,4,4,3,8,2018-04-04 03:08:00
3898,81 rue FalguiÃ¨re,1,1,0,0,0,nonexistent,Paris,paris-pasteurmontparnasse-parking,PARKING,"48.83983, 2.31252",75015,Paris/Pasteur Montparnasse/Parking,operational,5,ok,nonexistent,2018,4,5,5,27,2018-04-05 05:27:00
3899,92 Boulevard des Batignolles,3,3,0,0,0,broken,Paris,paris-batignolles-92,STATION,"48.8817521, 2.317631",75017,Paris/Batignolles/92,operational,0,ok,nonexistent,2018,4,9,23,24,2018-04-09 23:24:00
